class,image_path
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6557_1577671995.5074782.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00026_00011.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00018_00000.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/005_1_0052.png
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_5897_1577671994.9110715.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_5964_1577671994.969916.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00009_00027.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6606_1577671995.5513606.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6234_1577671995.2342129.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6035_1577671995.03175.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00018_00028.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6239_1577671995.2381983.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6478_1577671995.4456427.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_5620_1577671994.656752.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00040_00021.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00039_00029.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_5561_1577671994.6009011.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_5965_1577671994.9709144.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00039_00015.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/176.png
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00007_00004.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00016_00023.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00028_00026.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6020_1577671995.0177877.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00040_00009.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00007_00010.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6523_1577671995.4815466.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00039_00001.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/162.png
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/189.png
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00034_00016.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00025_00025.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_5917_1577671994.9320252.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00034_00002.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6365_1577671995.353889.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_5481_1577671994.5231092.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6440_1577671995.415723.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00025_00019.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_5749_1577671994.7794237.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00031_00019.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_5555_1577671994.5969124.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6276_1577671995.2701137.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_5468_1577671994.5071504.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6519_1577671995.478555.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_5885_1577671994.8991036.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00020_00002.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6343_1577671995.333942.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00031_00025.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6579_1577671995.5284216.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6024_1577671995.0227754.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00020_00016.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6077_1577671995.0726404.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00013_00010.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/005_0061.png
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_5463_1577671994.5011678.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6384_1577671995.3718402.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6275_1577671995.269117.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00002_00023.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00013_00004.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/005_0075.png
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6496_1577671995.4586082.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00045_00012.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00045_00006.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/005_0049.png
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6612_1577671995.557344.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6341_1577671995.3319466.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_5890_1577671994.9040928.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/228.png
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6167_1577671995.1703799.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00032_00011.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6303_1577671995.296042.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/200.png
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/214.png
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00032_00005.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00023_00022.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_5573_1577671994.6128776.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00010_00024.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6174_1577671995.1763628.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6374_1577671995.362864.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00001_00003.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00001_00017.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00010_00018.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6324_1577671995.3159902.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00046_00026.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6600_1577671995.546374.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_5685_1577671994.7215786.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_5374_1577671994.4106832.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00010_00019.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00046_00027.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00001_00016.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00010_00025.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00001_00002.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00032_00004.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/215.png
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_5407_1577671994.4445894.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00023_00023.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6552_1577671995.5034885.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6015_1577671995.012799.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/201.png
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00032_00010.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6408_1577671995.3927848.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/229.png
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_5986_1577671994.98687.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00045_00007.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_5485_1577671994.5270977.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/005_0048.png
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6471_1577671995.4406638.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_5972_1577671994.975899.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6021_1577671995.0187843.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00045_00013.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6142_1577671995.1464467.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00002_00022.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/005_0074.png
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00013_00005.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/005_0060.png
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00013_00011.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00020_00017.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00020_00003.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00031_00024.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_5757_1577671994.785408.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00031_00018.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00025_00018.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_5527_1577671994.5709803.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_5974_1577671994.9768968.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_5668_1577671994.701632.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00025_00024.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00034_00003.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_5967_1577671994.9719095.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00034_00017.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/188.png
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00028_00027.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/163.png
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00039_00000.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00040_00008.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00007_00011.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00007_00005.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/177.png
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00039_00014.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00016_00022.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6068_1577671995.062667.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6293_1577671995.2870657.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_5867_1577671994.8821504.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6158_1577671995.1614156.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00039_00028.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6625_1577671995.5680623.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00040_00020.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6526_1577671995.4845386.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00018_00029.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/005_1_0053.png
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00018_00001.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00026_00010.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6368_1577671995.3568802.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00009_00026.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00037_00023.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00026_00004.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/005_1_0047.png
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00018_00015.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00015_00002.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00004_00025.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00043_00028.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6550_1577671995.5014935.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00015_00016.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6621_1577671995.5643256.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/005_1_0090.png
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00004_00019.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00043_00000.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00043_00014.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/005_1_0084.png
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6546_1577671995.4985018.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00043_00002.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/005_1_0092.png
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00015_00028.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/005_1_0086.png
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00043_00016.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_5983_1577671994.9838777.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6100_1577671995.1005816.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00004_00027.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00015_00000.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00015_00014.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00009_00024.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00026_00012.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/005_1_0051.png
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00018_00003.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/005_1_0045.png
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00018_00017.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00026_00006.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00037_00021.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_5989_1577671994.9888659.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00037_00009.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00009_00018.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_5892_1577671994.9060864.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/005_1_0079.png
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_5457_1577671994.4951973.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00016_00008.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00028_00019.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_5816_1577671994.8302872.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_5820_1577671994.8332794.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6026_1577671995.0237718.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00040_00022.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/149.png
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_5421_1577671994.459281.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00007_00013.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00039_00002.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/161.png
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00028_00025.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6528_1577671995.4855378.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00016_00020.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_5985_1577671994.985871.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00039_00016.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/175.png
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6333_1577671995.3249655.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00007_00007.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6464_1577671995.434673.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00034_00001.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00025_00026.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00034_00015.jpg
